root@ebhq-gridcenter# df -h
Filesystem              Size  Used  Avail  Use%
/dev/grid/node-x0-y0     92T   70T    22T   76%
/dev/grid/node-x0-y1     86T   65T    21T   75%
/dev/grid/node-x0-y2     88T   73T    15T   82%
/dev/grid/node-x0-y3     91T   67T    24T   73%
/dev/grid/node-x0-y4     87T   70T    17T   80%
/dev/grid/node-x0-y5     91T   70T    21T   76%
/dev/grid/node-x0-y6     87T   71T    16T   81%
/dev/grid/node-x0-y7     94T   69T    25T   73%
/dev/grid/node-x0-y8     93T   69T    24T   74%
/dev/grid/node-x0-y9     87T   71T    16T   81%
/dev/grid/node-x0-y10    89T   66T    23T   74%
/dev/grid/node-x0-y11    92T   64T    28T   69%
/dev/grid/node-x0-y12    88T   66T    22T   75%
/dev/grid/node-x0-y13    85T   72T    13T   84%
/dev/grid/node-x0-y14    94T   68T    26T   72%
/dev/grid/node-x0-y15    92T   67T    25T   72%
/dev/grid/node-x0-y16    93T   65T    28T   69%
/dev/grid/node-x0-y17    91T   67T    24T   73%
/dev/grid/node-x0-y18    92T   68T    24T   73%
/dev/grid/node-x0-y19    91T   69T    22T   75%
/dev/grid/node-x0-y20    89T   65T    24T   73%
/dev/grid/node-x0-y21    90T   72T    18T   80%
/dev/grid/node-x0-y22    94T   67T    27T   71%
/dev/grid/node-x0-y23    86T   72T    14T   83%
/dev/grid/node-x1-y0     85T   66T    19T   77%
/dev/grid/node-x1-y1     89T   64T    25T   71%
/dev/grid/node-x1-y2     92T   67T    25T   72%
/dev/grid/node-x1-y3     87T   70T    17T   80%
/dev/grid/node-x1-y4     86T   71T    15T   82%
/dev/grid/node-x1-y5     91T   68T    23T   74%
/dev/grid/node-x1-y6     87T   71T    16T   81%
/dev/grid/node-x1-y7     94T   69T    25T   73%
/dev/grid/node-x1-y8     89T   70T    19T   78%
/dev/grid/node-x1-y9     93T   64T    29T   68%
/dev/grid/node-x1-y10    92T   67T    25T   72%
/dev/grid/node-x1-y11    92T   72T    20T   78%
/dev/grid/node-x1-y12    87T   65T    22T   74%
/dev/grid/node-x1-y13    85T   73T    12T   85%
/dev/grid/node-x1-y14    89T   70T    19T   78%
/dev/grid/node-x1-y15    90T   67T    23T   74%
/dev/grid/node-x1-y16    94T   71T    23T   75%
/dev/grid/node-x1-y17    93T   68T    25T   73%
/dev/grid/node-x1-y18    88T   72T    16T   81%
/dev/grid/node-x1-y19    89T   66T    23T   74%
/dev/grid/node-x1-y20    88T   70T    18T   79%
/dev/grid/node-x1-y21    90T   67T    23T   74%
/dev/grid/node-x1-y22    90T   64T    26T   71%
/dev/grid/node-x1-y23    92T   69T    23T   75%
/dev/grid/node-x2-y0     86T   67T    19T   77%
/dev/grid/node-x2-y1     85T   71T    14T   83%
/dev/grid/node-x2-y2     91T   69T    22T   75%
/dev/grid/node-x2-y3     88T   68T    20T   77%
/dev/grid/node-x2-y4     87T   73T    14T   83%
/dev/grid/node-x2-y5     94T   64T    30T   68%
/dev/grid/node-x2-y6     90T   66T    24T   73%
/dev/grid/node-x2-y7     91T   66T    25T   72%
/dev/grid/node-x2-y8     86T   64T    22T   74%
/dev/grid/node-x2-y9     90T   69T    21T   76%
/dev/grid/node-x2-y10    94T   65T    29T   69%
/dev/grid/node-x2-y11    89T   69T    20T   77%
/dev/grid/node-x2-y12    94T   64T    30T   68%
/dev/grid/node-x2-y13    85T   70T    15T   82%
/dev/grid/node-x2-y14    87T   69T    18T   79%
/dev/grid/node-x2-y15    94T   70T    24T   74%
/dev/grid/node-x2-y16    89T   72T    17T   80%
/dev/grid/node-x2-y17    94T   65T    29T   69%
/dev/grid/node-x2-y18    85T   70T    15T   82%
/dev/grid/node-x2-y19    86T   64T    22T   74%
/dev/grid/node-x2-y20    91T   69T    22T   75%
/dev/grid/node-x2-y21    92T   66T    26T   71%
/dev/grid/node-x2-y22    92T   66T    26T   71%
/dev/grid/node-x2-y23    94T   70T    24T   74%
/dev/grid/node-x3-y0     91T   65T    26T   71%
/dev/grid/node-x3-y1     91T   73T    18T   80%
/dev/grid/node-x3-y2     93T   67T    26T   72%
/dev/grid/node-x3-y3     91T   66T    25T   72%
/dev/grid/node-x3-y4     85T   69T    16T   81%
/dev/grid/node-x3-y5     94T   69T    25T   73%
/dev/grid/node-x3-y6     94T   70T    24T   74%
/dev/grid/node-x3-y7     92T   72T    20T   78%
/dev/grid/node-x3-y8     94T   73T    21T   77%
/dev/grid/node-x3-y9     86T   73T    13T   84%
/dev/grid/node-x3-y10    86T   68T    18T   79%
/dev/grid/node-x3-y11    87T   65T    22T   74%
/dev/grid/node-x3-y12    91T   70T    21T   76%
/dev/grid/node-x3-y13    93T   66T    27T   70%
/dev/grid/node-x3-y14    92T   71T    21T   77%
/dev/grid/node-x3-y15    90T   71T    19T   78%
/dev/grid/node-x3-y16    90T   70T    20T   77%
/dev/grid/node-x3-y17    94T   66T    28T   70%
/dev/grid/node-x3-y18    90T   69T    21T   76%
/dev/grid/node-x3-y19    89T   65T    24T   73%
/dev/grid/node-x3-y20    90T   72T    18T   80%
/dev/grid/node-x3-y21    94T   72T    22T   76%
/dev/grid/node-x3-y22    89T   73T    16T   82%
/dev/grid/node-x3-y23    85T   69T    16T   81%
/dev/grid/node-x4-y0     94T   68T    26T   72%
/dev/grid/node-x4-y1     90T   66T    24T   73%
/dev/grid/node-x4-y2     89T   70T    19T   78%
/dev/grid/node-x4-y3     89T   64T    25T   71%
/dev/grid/node-x4-y4     89T   69T    20T   77%
/dev/grid/node-x4-y5     85T   64T    21T   75%
/dev/grid/node-x4-y6     90T   72T    18T   80%
/dev/grid/node-x4-y7     90T   69T    21T   76%
/dev/grid/node-x4-y8     89T   70T    19T   78%
/dev/grid/node-x4-y9     92T   70T    22T   76%
/dev/grid/node-x4-y10    90T   66T    24T   73%
/dev/grid/node-x4-y11    85T   71T    14T   83%
/dev/grid/node-x4-y12    89T   65T    24T   73%
/dev/grid/node-x4-y13    86T   72T    14T   83%
/dev/grid/node-x4-y14    91T   72T    19T   79%
/dev/grid/node-x4-y15    89T   71T    18T   79%
/dev/grid/node-x4-y16    86T   73T    13T   84%
/dev/grid/node-x4-y17    91T   65T    26T   71%
/dev/grid/node-x4-y18    87T   67T    20T   77%
/dev/grid/node-x4-y19    94T   66T    28T   70%
/dev/grid/node-x4-y20    89T   73T    16T   82%
/dev/grid/node-x4-y21    85T   73T    12T   85%
/dev/grid/node-x4-y22    87T   67T    20T   77%
/dev/grid/node-x4-y23    91T   66T    25T   72%
/dev/grid/node-x5-y0     90T   71T    19T   78%
/dev/grid/node-x5-y1     87T   71T    16T   81%
/dev/grid/node-x5-y2     87T   69T    18T   79%
/dev/grid/node-x5-y3     85T   64T    21T   75%
/dev/grid/node-x5-y4     89T   72T    17T   80%
/dev/grid/node-x5-y5     88T   65T    23T   73%
/dev/grid/node-x5-y6     91T   66T    25T   72%
/dev/grid/node-x5-y7     89T   65T    24T   73%
/dev/grid/node-x5-y8     86T   68T    18T   79%
/dev/grid/node-x5-y9     93T   68T    25T   73%
/dev/grid/node-x5-y10    87T   70T    17T   80%
/dev/grid/node-x5-y11    93T   72T    21T   77%
/dev/grid/node-x5-y12    94T   67T    27T   71%
/dev/grid/node-x5-y13    94T   68T    26T   72%
/dev/grid/node-x5-y14    92T   72T    20T   78%
/dev/grid/node-x5-y15    85T   67T    18T   78%
/dev/grid/node-x5-y16    87T   73T    14T   83%
/dev/grid/node-x5-y17    85T   69T    16T   81%
/dev/grid/node-x5-y18    89T   65T    24T   73%
/dev/grid/node-x5-y19    86T   65T    21T   75%
/dev/grid/node-x5-y20    85T   70T    15T   82%
/dev/grid/node-x5-y21    86T   73T    13T   84%
/dev/grid/node-x5-y22    85T   67T    18T   78%
/dev/grid/node-x5-y23    93T   64T    29T   68%
/dev/grid/node-x6-y0     90T   72T    18T   80%
/dev/grid/node-x6-y1     93T   65T    28T   69%
/dev/grid/node-x6-y2     85T   64T    21T   75%
/dev/grid/node-x6-y3     88T   64T    24T   72%
/dev/grid/node-x6-y4     89T   64T    25T   71%
/dev/grid/node-x6-y5     86T   72T    14T   83%
/dev/grid/node-x6-y6     88T   72T    16T   81%
/dev/grid/node-x6-y7     93T   66T    27T   70%
/dev/grid/node-x6-y8     90T   65T    25T   72%
/dev/grid/node-x6-y9     93T   69T    24T   74%
/dev/grid/node-x6-y10    88T   70T    18T   79%
/dev/grid/node-x6-y11    85T   73T    12T   85%
/dev/grid/node-x6-y12    92T   73T    19T   79%
/dev/grid/node-x6-y13    93T   70T    23T   75%
/dev/grid/node-x6-y14    85T   69T    16T   81%
/dev/grid/node-x6-y15    86T   67T    19T   77%
/dev/grid/node-x6-y16    91T   65T    26T   71%
/dev/grid/node-x6-y17    91T   66T    25T   72%
/dev/grid/node-x6-y18    91T   65T    26T   71%
/dev/grid/node-x6-y19    92T   66T    26T   71%
/dev/grid/node-x6-y20    90T   64T    26T   71%
/dev/grid/node-x6-y21    86T   70T    16T   81%
/dev/grid/node-x6-y22    94T   71T    23T   75%
/dev/grid/node-x6-y23    90T   69T    21T   76%
/dev/grid/node-x7-y0     91T   71T    20T   78%
/dev/grid/node-x7-y1     94T   71T    23T   75%
/dev/grid/node-x7-y2     88T   64T    24T   72%
/dev/grid/node-x7-y3     93T   73T    20T   78%
/dev/grid/node-x7-y4     86T   68T    18T   79%
/dev/grid/node-x7-y5     88T   73T    15T   82%
/dev/grid/node-x7-y6     92T   66T    26T   71%
/dev/grid/node-x7-y7     90T   64T    26T   71%
/dev/grid/node-x7-y8     88T   64T    24T   72%
/dev/grid/node-x7-y9     88T   70T    18T   79%
/dev/grid/node-x7-y10    93T   67T    26T   72%
/dev/grid/node-x7-y11    88T   71T    17T   80%
/dev/grid/node-x7-y12    89T   71T    18T   79%
/dev/grid/node-x7-y13    85T   65T    20T   76%
/dev/grid/node-x7-y14    85T   70T    15T   82%
/dev/grid/node-x7-y15    87T   72T    15T   82%
/dev/grid/node-x7-y16    85T   64T    21T   75%
