1-gram	*/*	1/*	2/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	1/1:1	2/1:1	2/2:2	3/1:1	3/2:2	3/3:3	4/1:1	4/2:2	4/3:3	4/4:4	5/1:1	5/2:2	5/3:3	5/4:4	5/5:5	6/1:1	6/2:2	6/3:3	6/4:4	6/5:5	6/6:6	7/1:1	7/2:2	7/3:3	7/4:4	7/5:5	7/6:6	7/7:7	8/1:1	8/2:2	8/3:3	8/4:4	8/5:5	8/6:6	8/7:7	8/8:8	9/1:1	9/2:2	9/3:3	9/4:4	9/5:5	9/6:6	9/7:7	9/8:8	9/9:9	*/1:1	*/2:2	*/3:3	*/4:4	*/5:5	*/6:6	*/7:7	*/8:8	*/9:9	*/-9:-9	*/-8:-8	*/-7:-7	*/-6:-6	*/-5:-5	*/-4:-4	*/-3:-3	*/-2:-2	*/-1:-1
E	445155370175	155009877	13152909655	71369953109	55076975765	51554070384	51988144305	56480782707	46294103377	39823122219	155009877	606208747	12546700908	766538527	7734746545	62868668037	2431188390	14650610893	14587194522	23407981960	1950623118	7763603147	10809385308	15234563757	15795895054	2789637670	12047880073	3192452062	6499755574	17363555406	10094863520	3005294787	13119734943	4029205682	5663081532	9069579180	13778980422	7814906161	2898274386	7746133971	3807911836	5881213756	3849065959	4319497110	11750229907	6041776452	2622665798	6154248013	2565557770	5259363892	4823168251	2063720722	3291688817	7913568441	5129140515	20821104413	90182613396	104605690028	69582530797	57589816221	33828084003	27278643229	18482023762	11828736035	8494759088	14408255416	19026713066	30711710475	32717792363	28242806207	54491441855	97010506723	149765385042
T	330535289102	144097590	29023735343	68291190498	49364971323	31556644705	25865275019	29257353471	24521039280	23709068543	144097590	19466120956	9557614387	55322041631	1491442788	11477706079	22324532149	407893132	9133586549	17498959493	10641083605	4094804870	3910174493	4881402001	8029179736	3188227409	2393208499	6133637401	5690455158	3112252307	5347494245	2723627080	1423694514	4645161553	7669908637	3703044909	3300885376	5791031402	1694985929	1426453923	3874379300	3593011590	4672173491	3060712776	3736299274	2463022997	1355669378	1026700428	2556158151	2627241173	2887059743	5342705197	2881256247	2218043939	2814234287	118849337945	22662984232	46025077910	46071673752	25554966901	21698891145	19814069787	12247253793	8272108339	4176056288	6727233952	10550955147	15403397937	29530699234	63054875533	78715710116	51047126710	66727951442
A	286527429118	15310087895	12842459208	49188457778	37099746963	29210932177	25835260549	30977583657	26541380250	20029418172	15310087895	12435332979	407126229	30955298472	17742043660	491115646	2823355854	18499449915	14625050993	1151890201	5401519057	9165359992	9143261751	4539166161	961625216	4265899515	9069236851	4968622910	3602961340	3091688903	836851030	4411334766	6291612277	5872725721	4105976914	5114198559	4437100086	744635334	4161554716	4471199014	3381078458	3540036543	3140020260	3684269433	3720203295	443018531	2749354313	2298529418	2271070325	1899959026	2958056932	2958883336	2654182562	1944766111	294616149	86893227065	71064963996	43479118127	21516703652	17959665053	16044471311	13745964202	6250833194	5137562358	6170922529	8618400620	14050117752	19480089439	35531334979	32158006494	75910330051	66338884604	20969421416
O	272276534337	127592144	63229701187	26500925239	30571860827	26270606556	24100790835	23087143922	20837992767	18129372332	127592144	39416966780	23812734407	5519278580	17790169708	3191476951	2686314508	17291290994	8019144033	2575111292	2717022076	13246835814	7725337637	2049321772	532089257	1441826350	8303662810	5018375336	4611084311	4427205926	298636102	1345430919	7679513245	4316702083	2597431666	4477294281	2372002133	298769595	1314183917	6320325243	3004694119	2334125256	3101250882	1702348389	2930393621	130671340	920797217	5308204740	1602801719	1841075599	2155969761	837778177	2562029700	2829707873	71007546	56762601060	108069724546	35239947925	19816590469	18361453345	7552344763	8066923128	5616669539	5194799665	6217371767	10304065823	12713593590	16934567079	21717622103	29295124394	48196679093	88767109164	31070107496
I	269731642485	3884828634	33472540786	9882160182	24650626888	24785796809	23135618811	29567453552	31151257081	28426501980	3884828634	33008722085	463818701	1820296271	7677864039	383999872	1672396179	15916654470	6773571314	288004925	906638037	7279590569	10757440160	5627733037	214395006	1533117568	6081913674	3548467862	8993389299	2863994774	114735634	1340905021	5281842429	3552424839	5352711372	11884531687	2054688025	100350179	2245106587	3040205281	2561562292	5472766330	5519362194	10196383770	2043766899	72103728	2434838082	2657257632	1403155522	3231213413	3950439534	4137526867	9802607507	783951497	25511926	54256321754	52177181312	30741553527	33514580315	30784443194	23156532392	18459857406	11244604709	7694483847	6197132824	8818992946	12430992022	18226975320	26786405316	33864693872	86796277358	62488710940	5594196764
N	257770795264	125421809	25898507931	37862653412	21158896322	18600828973	22490740540	28147603992	26879672296	24811412802	125421809	1525733790	24372774141	6803468849	26375892231	4683292332	1635920941	3662469544	6179612247	9680893590	1630566493	2299167947	3354016741	6474056154	4843021638	1782340138	2564830252	3681440809	3496405254	5886898535	5078825552	1239118131	2762402320	4425575477	3161679895	3059400440	9228365899	4271061830	893950643	2964310049	3181941308	2211466385	2896830816	4747463510	5929024458	4054685127	656077013	2669017989	2718371157	1454681332	2158863211	2925733396	2284945866	6831131747	3112591091	16990703679	74214779383	33552399008	28723035456	21416428149	26203842858	14770639665	15431485875	10082729431	4993697979	7712916145	9301051358	12141936740	16545907443	19981096415	32316865244	78220210927	69252107252
S	232082812755	569891879	16357815785	18101829262	24621145666	29603336599	28125514856	30647690707	25334400879	21024181480	569891879	1631609081	14726206704	4382730364	827673075	12891425823	7785676270	753090815	7426384721	8655993860	8296335000	796439047	1897792199	6311363999	12301406354	8867014278	838346479	4038227386	2359680741	2181338785	9840907187	6537567747	602333347	3829703874	3258873199	1243577153	3817826997	11357808390	4637614099	336413246	3599485870	2432347886	2141898954	1348709417	2234065741	8603865666	3481951446	420568013	2452694427	1622025869	1567118907	2432741632	1654479719	983850881	6408750586	49734339142	20544032003	40785580170	27831366633	22392077060	21266487224	18805032726	11082478163	7714800502	6717111996	8919663973	11773279969	17692297764	20001736132	23536329268	14617137889	26578873922	95977537953
R	223767519675	97228768	3994359574	15956631177	21619305373	31615481322	30131929328	34165684812	27975645919	21526192896	97228768	159465990	3834893584	632150087	4375569500	10948911590	2443952385	5357182405	10134245945	3683924638	2399394022	6245454453	6846538573	6492012391	9632081883	3651070214	4180863176	7235286516	3092539078	5191446049	6780724295	3267862866	5892112429	7492835515	3519364129	4032309550	5660721125	4300479198	3295744725	4916164358	3845915139	2754290018	4683481183	3329380684	2613527166	2537142646	1959314502	3198959662	3048589053	2629705216	3406379001	2848265972	823045396	2519208358	1092725736	21020892617	42504715667	53548866770	25888028292	34411022985	23076526741	9999487769	7479891705	2981039594	6591750596	10453646864	16284672797	21338360495	23639641355	28917427131	25487257788	39338770495	43881791800
H	180074687596	72827269	4377150115	68014677341	37466787942	25713192996	12263174810	12191134782	7087197272	4644997540	72827269	4202361612	174788503	11607059927	56342210902	65406512	6487805529	21567690520	290324798	9120967095	2290429177	14548512071	1481117809	1634801406	5758332533	2013253937	3778538921	991687281	2533834167	832200420	2113660084	2488481880	3252268746	458497626	1741825473	2128873347	685471498	1435716212	838427648	1750553697	416787061	887764141	1287678932	840080043	173034726	892871024	475241193	1144955024	338781198	705084557	472689033	761321907	308301012	167632107	270991509	31238837884	104256961346	4375945342	17714190956	11225395266	4969489580	2743168021	1749231345	915629453	1793247718	2495301509	5540076762	6991292269	8484556670	26639215939	41507472138	64580544822	20172047346
L	144998552911	117220317	755108896	6587954155	21070584705	21810917778	21105134396	20105987977	16610492942	13104636086	117220317	378056568	377052328	1418328777	2632737598	2536887780	5673397282	2173121915	8067732376	5156333132	3517951924	3653214462	2547316421	8144164067	3948270904	3107824409	2308098078	3378733267	3061220297	6704722839	2544535506	1684478941	1956639178	3020237690	3749291896	2677894326	3483348519	3534097427	925961427	1606911525	2633259474	2419103412	2240128658	1352665281	2701960767	2730502398	463309696	746310974	1980729753	2017759942	1555290205	1258603888	1114093167	2412960770	1555577691	17967162608	16447468102	26011859444	26704600937	19776069484	10455753034	9502487034	7300763749	4005788069	1868810555	3865645341	7720081317	12254601536	14243478576	22066343691	16162407662	39055317004	25770778363
