2-gram	*/*	2/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	2/1:2	3/1:2	3/2:3	4/1:2	4/2:3	4/3:4	5/1:2	5/2:3	5/3:4	5/4:5	6/1:2	6/2:3	6/3:4	6/4:5	6/5:6	7/1:2	7/2:3	7/3:4	7/4:5	7/5:6	7/6:7	8/1:2	8/2:3	8/3:4	8/4:5	8/5:6	8/6:7	8/7:8	9/1:2	9/2:3	9/3:4	9/4:5	9/5:6	9/6:7	9/7:8	9/8:9	*/1:2	*/2:3	*/3:4	*/4:5	*/5:6	*/6:7	*/7:8	*/8:9	*/9:10	*/-9:-8	*/-8:-7	*/-7:-6	*/-6:-5	*/-5:-4	*/-4:-3	*/-3:-2	*/-2:-1
TH	100272945963	15854089	53177359897	23949239953	10166172783	4107012905	3754299810	1790488884	1380226565	15854089	53167751846	9608051	18044771797	1725871	5902742285	7078145320	1406474721	53377435	1628175307	1209000757	349826121	1642342391	263054507	642789129	1250352438	37014992	959853153	1294987181	93182613	118909433	442406297	29429664	469804474	438746418	242221830	36471102	131409099	402351176	93750120	285288598	151853732	271257570	20034734	33762010	121928625	82191954206	1944903553	9682689029	3979355614	1390538478	432554002	280104975	177968126	140557449	573953638	752170028	1778248099	2011264965	9235458296	22750054610	53677948758	8729279970
HE	86697336727	4110457083	56167425979	7487800614	8247494280	2719341376	3092031031	1611303288	1249842476	4110457083	1661218025	54506207954	1330715873	6151778646	5306095	680137544	6118844352	1420436290	28076094	544088586	369680800	386297113	1390608008	28666869	396157179	665438649	61247823	164941940	1787800550	16444890	134732957	290569372	97334046	89360702	390863420	590993165	17449626	91186442	411975212	160907774	117316290	112760804	103711433	237907680	14076841	9112438473	68972918222	2171031656	1914128950	2475548756	889078255	524475712	280061308	228439811	474181923	637367387	1028372154	1626225640	1465752930	8660339480	13736813355	58739545490
IN	68595215308	16891065263	233215898	3519540510	4911626166	6279226557	9017989465	8848541116	7458869052	16891065263	71558880	161657018	1203450210	1735261629	580828671	314819140	1064081883	2669872923	862852220	793882011	734441456	791366942	3040850442	918685706	807997325	777026014	534373296	788790882	5387070679	722731269	1760525899	415495035	505178267	789741924	1341879947	3812122414	223597630	1760568699	236766437	282212247	321171979	768630257	463709545	3534393058	91416830	27799770674	5296303799	5688289144	6410682040	9482572675	5372281267	4431143273	2232706734	1044312202	2098595873	2422647138	2424865755	3014423080	3703209589	6155529794	23738997749	20517043744
ER	57754162106	13948619	2085608759	4913853258	9632156591	8699854353	9873594053	6928160475	5705429313	13948619	46312231	2039296528	25862513	3832530935	1055459810	84369746	538027492	2859177339	6150582014	58645732	1388590833	281823470	1391367649	5579426669	46625581	1787789888	730637244	1730685689	2017125920	3560729731	18805989	755255247	788470369	1817303666	838946442	936591444	1772787318	15300277	687335868	732485962	1442190355	1175313839	229237772	724400263	699164977	324230831	12015666159	6902330570	16275688277	11313569674	5263189303	3396711679	1443367114	409002627	1073199959	2259069724	3876308101	5513597469	5673627954	4122631972	12461395218	21335726334
AN	55974567611	2726250863	26189175821	3758324551	3018762826	3116632811	4307660041	4361010572	3220633279	2726250863	23665563241	2523612580	126537229	1947021864	1684765458	179267222	761025679	1013707277	1064762648	452922188	893574552	831512603	453200393	485423075	911661551	564036951	782182907	517786216	1079846539	452145877	566093429	552644499	674724026	533138976	565950917	657911870	810546855	198426406	281327507	297780689	416587529	459889271	454143614	728498872	383979391	29085241508	8053927703	6068147150	3454677511	2920903962	1880911935	2269296835	1323689281	666546831	1008195054	1265738355	1992612004	2612966569	3314840026	4317537968	30169288958	10406064820
RE	52285662239	77257723	3953279623	6283733777	5429031721	6623850950	7207268486	8136157194	6113857348	77257723	181840961	3771438662	568964814	661326401	5053442562	409683118	1543877982	800779945	2674690676	2261280500	722909373	996147286	681726360	1961787431	2509324286	1281778045	703853690	778090301	955653986	978568178	2943957447	1135756277	576493472	328517993	778498946	1940007491	432925568	1779645036	990379282	491309180	1036730495	263091316	455269460	342528090	754904489	13676064272	11003540527	9023474023	6783532049	4594786033	4027371865	989245531	1323627045	348880988	2598689000	4534344417	5097148244	5693279649	2759445944	5227603933	6263391417	16291780775
ON	49570981965	4594521081	2636883110	3660711241	1926889771	3906860970	3750385566	5333117622	5416467249	4594521081	2158119252	478763858	1507123905	1269731948	883855388	20171526	550143828	996784094	359790323	25364613	750502655	104519275	810681630	2215792797	40989599	1145332988	168916754	183679884	850668275	1360798066	8179963	1373644605	278811451	249545817	772849387	447317295	2202769104	3941923	1262127534	123523678	178497727	330779461	224597929	862681722	2430317275	8364400586	10595778214	2673224041	2156297853	4782672895	2432012025	3737750672	3602103031	4343230798	1747308872	1559647742	1988068754	2313743093	1907237723	4424394747	10074641775	23071398583
AT	41920838452	3413452256	269954932	10535138357	2771650333	3023323315	2579212315	3563083398	3712972718	3413452256	27017439	242937493	19936662	975703028	9539498667	36600525	1143684552	952476100	638889156	167038606	1645131925	692407138	381278752	137466894	155885367	867903114	364024792	783293235	372523463	35582344	289894989	997776760	298319074	900133840	451661950	539015504	86281281	292045441	418530096	213285511	472141877	1114916586	708469427	481388914	12194866	4632096352	6712093169	12267173758	3611860596	2588675559	3201850426	4414561503	1778506005	1647481402	634163526	964710928	2044023250	3442640883	10521023347	5171876855	4386525726	14121563078
EN	41004903554	66416081	996544862	6061180404	2980289637	4127166516	6106471048	4726898241	5301426281	66416081	330047632	666497230	61758346	808672628	5190749430	253329828	644731995	372009903	1710217911	655235538	916687599	737669654	932210542	885363183	718537108	1508046823	208014786	993079452	1537425862	1141367017	421887172	435985146	279353798	766694355	1429798280	807359968	585819522	215599586	631940250	149903667	978034899	602157620	929756158	1655771647	138262454	3379510331	6113945816	7176276787	6110731853	5279462809	3719026937	4376886954	2661764759	1622475774	729792035	1831138333	1969269666	4446516212	4173664323	6949237344	9336962978	10489657878
ND	38129777631	4896139	23008348378	1648222228	2336263069	2670557112	1862756429	1698401494	1458421959	4896139	1980145	23006368233	102370	62965177	1585154681	0	801502663	549056595	985703811	0	346841953	676771494	227381968	1419561697	257792	184108912	563309025	215506947	371386364	528187389	0	271136430	353193590	335365780	395073603	73533782	270098309	0	247413973	377767970	155693578	304668789	205284690	91509732	76083227	7236446	26286370666	4581934302	2137654294	2688740808	983295449	660369647	209846338	484603955	856393126	683472327	864503056	963587939	2011962416	2414884462	1452250968	28144529726
