3-gram	*/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	3/1:3	4/1:3	4/2:4	5/1:3	5/2:4	5/3:5	6/1:3	6/2:4	6/3:5	6/4:6	7/1:3	7/2:4	7/3:5	7/4:6	7/5:7	8/1:3	8/2:4	8/3:5	8/4:6	8/5:7	8/6:8	9/1:3	9/2:4	9/3:5	9/4:6	9/5:7	9/6:8	9/7:9	*/1:3	*/2:4	*/3:5	*/4:6	*/5:7	*/6:8	*/7:9	*/8:10	*/9:11	*/-9:-7	*/-8:-6	*/-7:-5	*/-6:-4	*/-5:-3	*/-4:-2	*/-3:-1
THE	69221160871	53097401461	4574172950	6530290189	1502255639	1518012304	586269661	535683623	53097401461	4573107083	1065867	5125131233	1393771123	11387833	235320674	295566064	957095103	14273798	208657319	5748861	53590677	1242108744	7906703	88235495	10194878	70021742	199241979	218027012	548555	297374096	79917105	65194349	82737410	4775813	5535894	148956	63987613425	1789639631	1255329537	1633886822	331298449	102771990	84608684	28514495	5212950	347925811	252523745	420003690	503023575	5687185302	8461853267	53132956749
AND	26468697834	22632024504	615462779	411241158	483213022	658179698	632783409	407256075	22632024504	5929293	609533486	7627203	241953093	161660862	30647241	142493650	79531611	230540520	12696813	90637563	39900376	104312811	410632135	22832295	123032989	206497943	54022141	42702174	183695867	3453078	96994236	89832696	26961737	92605641	51979400	45429287	22717821843	1386455491	670162600	420273173	592568309	281982551	68796452	279479577	17283210	101879782	150069169	246470342	546605541	353622113	566912230	24442094579
ING	21289988294	15641529	299548336	1616518783	3060301018	5020693142	3857529135	3441710410	15641529	1857488	297690848	1577378	79812911	1535128494	5479023	222680777	334193373	2497947845	1901282	132452276	8933718	81781350	4795624516	3661579	43117967	47661035	15321932	360214465	3387552157	17090682	19509381	444626	31141541	39645667	133207293	3200671220	63886872	834555658	1926926678	2655429024	5490985965	3546725651	3306009029	1810383802	922504278	98752890	44289140	109157082	405851151	420774934	1104294470	19057418310
ION	20449402244	20251036	48265608	158272716	668516426	1268525702	2549198220	3150030118	20251036	16367442	31898166	5732655	10529086	142010975	1246576	3868942	30506361	632894547	2175208	14822394	770671	276034173	974723256	1243524	8315769	4602204	353348893	273181137	1908506693	116752	3745478	3346862	21378409	156112879	717740642	2247589096	52671164	76229376	181955640	1366731684	1502824450	3132624399	3260530580	4051920565	3372463281	24689379	174189524	289621647	293888732	1496814777	3928009622	14217686766
TIO	16819216214	411442	11374403	60454361	465975182	700854063	1891786809	2560273716	411442	11374403	0	3842650	1019456	55592255	1275652	282461	462538289	1878780	0	0	202868895	496311345	1673823	0	4205020	303838158	148196483	1434309426	1237722	0	800062	17270781	141757995	574805349	1825393659	245870	16904147	7347702	1121674735	840060597	2436445436	2682263876	3040733209	3293460911	1702171704	149352077	212459507	206940207	1245804843	3267743165	11638331332	61317620
ENT	15514431359	1996864	557806607	346626331	1324485281	2170619043	1860530623	2915108420	1996864	370128	557436479	104796793	46873165	194956373	122895116	310845810	279264765	611479590	93112772	480806820	8695571	218242400	1369761480	188056551	114836698	111815712	176030835	570539041	699251786	24370746	248698877	57719307	483347982	246997080	296787792	1557186636	691663933	1853509229	819827567	1832696484	2674538387	1299485587	2456379847	2198799703	1286979551	241610146	957897536	553342135	1657109838	1581802821	2351756684	7856896807
ATI	11778016773	436893	2053125	112287650	263674308	445833270	1231713796	1377644903	436893	0	2053125	1037886	110632426	617338	180936	245175135	17934016	384221	0	274386700	137495501	32969417	981652	0	443315259	32938640	694146943	58339691	2973263	0	61836953	27359557	221311031	1003728737	62316830	1091795	1655715	1288575500	307235398	1278938041	1421012938	1652392799	2837793043	1157585573	988372055	193601778	178278128	998176855	2008923526	7727956618	425237962	15956856
FOR	11352182252	6545282031	421347759	453706197	1358763726	669177690	316631770	594839539	6545282031	421108659	239100	452575383	929596	201218	540046690	745100	817971936	0	435959295	0	109257882	123960513	0	144035473	0	85889918	17958458	66054930	2692991	186746177	6953135	28731497	73432688	15945315	283030727	0	8878746846	11024300	1441248842	424584733	186105117	373376442	25918345	1586105	9591522	590059950	314125584	541987755	803280070	609734993	1734203781	6548415340
HER	10921772146	1633278704	486409757	3712631271	1528718180	1740608233	686262670	609593089	1633278704	481631148	4778609	18533269	2298390715	1395707287	79247917	13553976	310725045	1125191242	120154336	254786456	24453370	72046199	1269167872	41569454	35909770	35309262	56885663	290534271	226054250	23311774	303224670	109057696	58526664	16171039	76012562	23288684	2429181664	2970300050	1899395027	1350875095	1636439127	329551480	139557071	85338371	66016640	62429727	375208033	331359168	464561631	163759063	3669123934	5782710738
TER	10298054230	3656203	156753231	1869933275	1448862213	1554112825	1557563634	1206082672	3656203	155512353	1240878	198478087	13508749	1657946439	37619706	12634866	112102414	1286505227	22640547	44885925	159051174	614727132	712808047	69187101	19560287	799745762	176071209	133420930	359578345	72774177	11655229	507727113	146592580	83056702	118717078	265559793	642706627	124122443	4723973771	2318341056	1060242185	554912652	618181387	127404731	97060512	568098034	632219356	673662040	1134935166	728125587	1333300690	4435154826
HAT	9595332482	22695081	9274895868	20243237	19683550	20934017	175421480	28205115	22695081	45948024	9228947844	18614497	1506575	122165	16916165	2360399	275182	131804	7357995	11841723	1533751	200548	0	4877352	91321832	438868	3504841	5904479	69374108	0	6960151	319384	5158099	4726947	11040534	0	116914339	9359727768	2912359	14964847	11668971	85198783	0	370990	1764854	17475946	12967419	99582929	37210331	33083754	68230559	9321512042
THA	9447439870	2863984	9195687425	39244330	69100180	23673244	45094507	27724768	2863984	9195687425	0	35801354	1464953	1978023	38731820	4300460	14228464	11839436	6848162	4124742	4738412	6173293	1788635	20413520	0	6702626	4883575	10941704	2153082	2580729	247369	11378469	1987765	4312375	6987725	230336	9310286075	11841103	44490565	38019118	21451988	9931144	3516768	6764387	815499	5867651	32488922	24388764	52411110	55473676	9242827340	21267740
ERE	8939106849	6429478	2760769889	2316655228	217339155	568849857	683145085	1181680297	6429478	763798	2760006091	8627538	9147247	2298880443	655411	124906502	7599098	84178144	15793824	9735941	174621023	338335537	30363532	7783945	57820391	22001049	285675889	287605771	22258040	460849	19662769	278146323	234366417	399234751	171963657	77845531	40514843	3032372695	2825414176	1163028577	1098370507	204292713	424603812	122139601	24831593	56399676	163758406	601065442	504256830	1011714988	1174732936	5355721408
ATE	8757480213	12271398	516620478	1443682339	892469735	964461849	1258960990	1308408643	12271398	936815	515683663	145346	822570935	620966058	212170	96982381	536583962	258691222	470988	49978772	24625244	597313719	292073126	298678	222314605	105286264	119670982	292378248	519012213	114665	125742471	117035245	35743423	13441959	559357152	456973728	14936723	1924950880	1463913312	1053250740	670553685	1169936904	1145994296	526320569	611806269	60012984	188288078	398441999	251860083	570842721	3941382736	3304456319
HIS	8073090301	3611377789	3835362023	1915117	10776043	303624532	62454864	66550361	3611377789	8994064	3826367959	102579	1386927	425611	2395024	4180889	3272862	927268	280440949	15973219	1129054	1797689	4283621	31953207	9602392	0	2845012	18054253	0	34053006	15239857	176960	901833	3368587	12667195	142923	4100480589	3876045010	6720327	31101324	26741985	21541068	3118233	1985630	3842414	38185671	54966109	292488728	22958717	18718462	51098365	7443631066
CON	8068814778	21443110	29881423	37291452	390108650	1081109339	1406006496	1259994647	21443110	22920819	6960604	20825177	2913348	13552927	61861024	1203597	317155624	9888405	958623784	79055561	24546378	7700292	11183324	1167585180	217497757	16255008	2499427	1940721	228403	1125994143	51688944	61340540	20222772	512971	0	235277	6942160205	390714187	588104924	94153729	26884212	10805480	11534341	4222447	235253	1200083993	1234592419	1259498539	177799887	50973944	353964599	65560756
RES	7496974307	17054203	128509805	414343973	578251652	1219556423	1821291813	1108665146	17054203	119127636	9382169	21130995	304368662	88844316	280565777	7460820	152149883	138075172	435558720	398581588	28914468	179926543	176575104	586650177	345911295	61380201	2022102	442952847	382375191	341385100	322516910	32538130	247027219	87106617	6355041	71736129	2488030143	1588579024	398158318	1293792506	984171522	409011850	91789805	160141923	16758711	493656993	1061446258	1311283770	1100538459	151144315	1210267639	1110491540
VER	7415630371	3344667	1696237441	1100797916	392974332	1366720711	866552863	465957201	3344667	772012633	924224808	52063099	404944609	643790208	89549655	6424507	146967789	150032381	67666404	180100563	455728761	73874273	589350710	68558731	193833871	202353328	59609132	63954030	278243771	18284130	75780982	141230232	91384315	55386067	66456522	17434953	1103682718	2018007364	2199776903	816247989	752535092	443325355	56642175	20781238	4323234	348100571	603657404	770623690	602788138	716572208	1535961563	2622294829
ALL	7317964040	2062779102	475488486	993430297	747907842	842540466	483144661	582698720	2062779102	11459271	464029215	121189950	173321226	698919121	88617653	474420553	153693759	31175877	121202825	151872551	82778513	427303846	59382731	77477370	24736729	20306438	79947191	220650718	60026215	49735310	27690969	45459820	15952572	15780949	417053082	11026018	2582558510	1335970495	1045003061	572708513	321106329	501791849	379206063	191312958	188301189	72802296	155467410	208701929	292763951	781168391	2339293198	3394637728
ONS	7187472617	1139779	85670802	39786665	79584077	738144409	719267834	988918091	1139779	0	85670802	12666655	2906067	24213943	735786	12137466	1449008	65261817	1396240	87866578	5976405	2284443	640620743	283106	306196641	3327611	855777	105211717	303392982	1695405	182362814	9847644	0	52482222	193109	742336897	18171816	2040126322	48440430	258348465	956593255	305942827	923992567	693540717	711976745	418845621	232076299	447622339	222272954	84118525	112247920	4491765715
NCE	6936472580	254219	269934246	507096290	367278900	738727291	1186546812	1177977304	254219	140514	269793732	0	678558	506417732	0	2502838	80338216	284437846	0	3041906	181233641	68129558	486322186	0	10018891	104401423	20999365	176326834	874800299	0	50809376	138191151	20153272	1364360	224829291	742629854	394733	376855313	1291253634	410950230	687888070	1128358644	934728284	1264407543	422559029	57075317	189466101	201038838	128573064	207528650	1144993292	4863057593
MEN	6889167446	454094525	33147184	335838281	257908622	330859451	675400938	1104337002	454094525	27626447	5520737	8053320	5316596	322468365	86793400	1772165	152009264	17333793	48503220	13910022	51071292	182234318	35140599	24980044	4717915	28982250	187824176	388494966	40401587	99228155	31815566	35821185	44094865	201232927	635593753	56550551	765862023	74275924	649053907	540270419	695862985	1053843447	1740001149	1044975309	124251573	253320553	110695314	226463626	478854298	1131114764	3674092383	960403703
ITH	6795041998	2085197	5185166303	175138887	609770744	577111046	77003753	57117291	2085197	237150	5184929153	0	2794533	172344354	3802771	593535756	3775270	8656947	0	470718583	104191652	443716	1757095	0	42449617	24571517	655805	129928	9196886	0	21501754	2121630	302649	2402559	17838096	12950603	6125118	6345097521	340852208	16083999	25133219	40266066	15326952	4764788	962468	21204875	50918550	47794647	503588650	713478698	26892560	5395372281
TED	6610757134	5995867	524117	190384966	823773546	1256420375	1223825703	1537299377	5995867	0	524117	2424736	0	187960230	732282	0	0	823041264	4836080	604279	0	0	1250980016	161631	136606	193588	352888	299331	1222681659	149214	0	473099	0	4904394	180968	1531591702	14573099	1265002	189065696	823825212	1258029189	1248122534	1555132399	722922868	497930319	149214	322667	14008114	1530149	59055857	480299	6534659802
ERS	6524449179	1370594	15512468	89707161	1175869037	1742171257	955791934	786689450	1370594	550017	14962451	440400	34124791	55141970	1190588	295031774	2285649	877361026	1606475	268325886	12023419	62093095	1398122382	0	182516554	21747564	58820851	43382537	649324428	1275386	62849350	6973285	94111019	95787906	0	525692504	6674105	1067018431	107713144	1482786611	2049606789	689628374	565614530	319918338	95949772	98882970	161788973	446870091	839310991	469499964	171639688	4037623585
PRO	6441091673	25823681	31005338	156563029	240472384	1443599590	1842725800	743265759	25823681	31005338	0	153420171	2840386	302472	233922889	3982326	2412408	154761	1391967166	1925532	49706892	0	0	1608149874	2056856	231060088	1458982	0	0	706816955	1464390	28463315	5569924	848485	102690	0	5633112117	12640674	702049831	41738017	30015730	19147590	478005	1562422	0	884989814	1703216533	1448884593	486870895	212443116	36360822	26280914
THI	6357454845	1802808	3868518104	678184547	761935749	298951426	298191094	286981856	1802808	3868518104	0	673590329	4188311	405907	375222304	21583905	365129540	0	35056732	22136020	236822260	4316418	619996	119366861	5061349	6245274	164846515	2482757	188338	26790965	3727611	428136	5023493	248050480	2961171	0	5114570141	57257283	617184373	177309817	253857089	123230691	6401521	3687913	3573309	31991476	129219251	46734322	416970996	1457335837	4257549026	3017049
WIT	6270098257	12678643	5187849483	10278128	376408356	503190066	41192767	68185591	12678643	5187735447	114036	10278128	0	0	356600938	16936669	2552156	318593	501793315	532954	126090	737707	0	26834651	10780398	393458	0	3184260	0	46968193	8343101	1722073	323476	0	10828748	0	6176653262	50055944	7069853	20584460	3184260	11365751	1046765	137962	0	49819738	35650543	515800505	358387829	27340887	5206085083	13249234
