9-gram	*/*	9/*	9/1:9	*/1:9	*/2:10	*/3:11	*/4:12	*/5:13	*/6:14	*/7:15	*/8:16	*/9:17	*/-9:-1
DIFFERENT	462529606	381761001	381761001	449994463	0	12535143	0	0	0	0	0	0	391339487
GOVERNMEN	447892044	0	0	444257998	0	0	1332781	584178	1717087	0	0	0	0
OVERNMENT	447892044	0	0	0	444257998	0	0	1332781	584178	1717087	0	0	391676175
FORMATION	424323704	67087752	67087752	73547200	0	307514722	6110236	0	36913406	0	0	238140	402572707
CHARACTER	363520357	143305637	143305637	362817977	0	702380	0	0	0	0	0	0	143305637
VELOPMENT	338135256	125301	125301	125301	0	335484090	0	1310818	0	0	1215047	0	295276608
DEVELOPME	337814385	0	0	335288520	0	1310818	0	0	1215047	0	0	0	0
EVELOPMEN	337814385	0	0	0	335288520	0	1310818	0	0	1215047	0	0	0
CONDITION	333028271	115246769	115246769	324689039	0	5695600	2643632	0	0	0	0	0	116609190
IMPORTANT	330925074	318798581	318798581	326129397	0	4650974	144703	0	0	0	0	0	323594258
ARTICULAR	325349910	2615359	2615359	2615359	322521690	0	0	103221	109640	0	0	0	191446640
PARTICULA	325002775	0	0	325002775	0	0	0	0	0	0	0	0	0
REPRESENT	322762051	54521326	54521326	316473843	0	716699	4561170	397504	612835	0	0	0	55004409
INDIVIDUA	316420423	0	0	316271926	0	0	0	0	148497	0	0	0	0
NDIVIDUAL	315078486	0	0	0	314929989	0	0	0	0	148497	0	0	199302018
RELATIONS	296359059	112325996	112325996	285581274	0	0	7056524	0	3454982	0	0	266279	120552945
POLITICAL	294496146	279042950	279042950	291539813	554326	0	1350326	0	1051681	0	0	0	281999283
INFORMATI	293449515	0	0	292209764	0	132470	1107281	0	0	0	0	0	0
NFORMATIO	293045589	0	0	0	288647733	3534630	0	863226	0	0	0	0	0
UNIVERSIT	292815406	0	0	292815406	0	0	0	0	0	0	0	0	0
FOLLOWING	283045078	282890287	282890287	283045078	0	0	0	0	0	0	0	0	282890287
EXPERIENC	281749394	0	0	277782008	0	3967386	0	0	0	0	0	0	0
STITUTION	276134214	125012	125012	125012	0	142816188	128009906	201769	4981339	0	0	0	129337681
XPERIENCE	274241167	0	0	0	270273781	0	3967386	0	0	0	0	0	183664300
EDUCATION	273936976	209865301	209865301	272943794	0	790259	0	0	0	202923	0	0	210294481
RODUCTION	269581997	0	0	0	174074710	0	94207374	118856	1181057	0	0	0	257367581
NIVERSITY	267605414	0	0	0	267605414	0	0	0	0	0	0	0	267605414
THEREFORE	256680119	256680119	256680119	256680119	0	0	0	0	0	0	0	0	256680119
NSTITUTIO	255376853	0	0	0	138944744	111249001	201769	4981339	0	0	0	0	150903
IFICATION	249310502	0	0	0	0	6713848	53672892	95761290	79491636	11292467	1546194	269251	200726597
ESTABLISH	247244825	47704740	47704740	243779351	0	2606086	631503	227885	0	0	0	0	48688936
UNDERSTAN	236116522	0	0	228738532	0	0	7377990	0	0	0	0	0	0
NDERSTAND	236116522	0	0	0	228738532	0	0	7377990	0	0	0	0	112292619
DIFFICULT	234901154	130577321	130577321	234901154	0	0	0	0	0	0	0	0	130577321
STRUCTURE	234264555	150602123	150602123	215260136	0	2585036	824957	270685	15095824	227917	0	0	165926990
KNOWLEDGE	232373584	185412728	185412728	189273751	0	41766748	0	1333085	0	0	0	0	201315412
STRUCTION	229095104	238604	238604	238604	0	124940744	85390567	0	18367696	157493	0	0	179069133
SOMETHING	223400716	223298632	223298632	223400716	0	0	0	0	0	0	0	0	223298632
NECESSARY	223167622	208018922	208018922	208018922	0	15148700	0	0	0	0	0	0	223167622
HEMSELVES	216975281	0	0	0	216975281	0	0	0	0	0	0	0	216975281
THEMSELVE	216975281	0	0	216975281	0	0	0	0	0	0	0	0	0
PLICATION	216075328	155929	155929	155929	0	190370652	18686524	364355	6497868	0	0	0	129269886
ANIZATION	214956842	0	0	0	0	0	202545472	1836881	7455489	2432561	222381	311422	132647516
ACCORDING	209715124	178815411	178815411	209715124	0	0	0	0	0	0	0	0	178815411
DIFFERENC	208242634	0	0	198365741	0	9876893	0	0	0	0	0	0	0
OPERATION	208192970	95100641	95100641	178225768	0	29632412	198441	0	136349	0	0	0	124869402
IFFERENCE	208051965	0	0	0	198175072	0	9876893	0	0	0	0	0	120458341
RGANIZATI	207836365	0	0	0	199076895	0	7175680	1272368	0	311422	0	0	0
ORGANIZAT	207836365	0	0	199076895	0	7175680	1272368	0	311422	0	0	0	0
GANIZATIO	207836365	0	0	0	0	199076895	0	7175680	1272368	0	311422	0	0
CONSIDERA	200170571	150593	150593	196435656	0	3734915	0	0	0	0	0	0	150593
SIGNIFICA	192179788	0	0	183550392	0	8355412	273984	0	0	0	0	0	0
PRODUCTIO	191412040	0	0	174074710	0	16400100	118856	818374	0	0	0	0	0
INFLUENCE	190881606	139632645	139632645	190508516	0	373090	0	0	0	0	0	0	139632645
IGNIFICAN	188636980	0	0	0	180007584	0	8355412	273984	0	0	0	0	0
CONSTRUCT	186806697	17439867	17439867	158239237	0	28288943	157493	121024	0	0	0	0	20684985
DETERMINE	186086466	73035028	73035028	181414016	0	1214207	3237436	220807	0	0	0	0	73162073
PRINCIPLE	184758698	92207363	92207363	183940333	0	818365	0	0	0	0	0	0	92207363
CONSTITUT	184528736	0	0	177581628	0	6947108	0	0	0	0	0	0	0
NSTRUCTIO	184400028	0	0	0	80484272	85390567	0	18367696	157493	0	0	0	0
SPECIALLY	183987294	12842169	12842169	12842169	171145125	0	0	0	0	0	0	0	183987294
TRIBUTION	183617459	0	0	0	0	6532759	173158400	0	3762754	163546	0	0	142845143
ONDITIONS	183575876	0	0	0	182610089	0	0	965787	0	0	0	0	183575876
TERNATION	178771012	0	0	0	0	176623014	0	2147998	0	0	0	0	4155290
SITUATION	177579192	134610698	134610698	177579192	0	0	0	0	0	0	0	0	134610698
ELATIONSH	175806114	0	0	0	173255278	0	0	0	0	2550836	0	0	0
ATIONSHIP	175806114	0	0	0	0	0	173255278	0	0	0	0	2550836	117002033
LATIONSHI	175806114	0	0	0	0	173255278	0	0	0	0	2550836	0	0
HARACTERI	174836063	0	0	0	174133683	0	702380	0	0	0	0	0	0
ERNATIONA	173919580	0	0	0	0	0	173919580	0	0	0	0	0	0
NTERNATIO	173919580	0	0	0	173919580	0	0	0	0	0	0	0	0
RNATIONAL	173888751	0	0	0	0	0	0	173888751	0	0	0	0	164625777
INTERNATI	172998679	0	0	172998679	0	0	0	0	0	0	0	0	0
ESPECIALL	171145125	0	0	171145125	0	0	0	0	0	0	0	0	0
DISTRIBUT	168437370	0	0	162110795	0	6163029	163546	0	0	0	0	0	0
REFERENCE	168368778	88812899	88812899	137282911	31085867	0	0	0	0	0	0	0	108194398
OPULATION	167537673	0	0	0	165650908	0	544320	668496	673949	0	0	0	145981945
TRADITION	167382384	57990909	57990909	165369765	0	1235943	776676	0	0	0	0	0	59226852
PRESIDENT	166768626	143231208	143231208	166213336	0	0	0	555290	0	0	0	0	143786498
POPULATIO	166754335	0	0	164867570	0	544320	668496	673949	0	0	0	0	0
SOMETIMES	165282667	165282667	165282667	165282667	0	0	0	0	0	0	0	0	165282667
EVOLUTION	165201587	38753951	38753951	50775197	112884577	200268	0	245131	202564	0	0	893850	109521871
CHRISTIAN	164678530	102337125	102337125	164099222	0	389676	0	189632	0	0	0	0	102916433
RESENTATI	164392095	0	0	0	31038745	0	129946765	0	356255	2769709	135656	144965	0
PRESENTAT	164392095	0	0	31038745	0	129946765	0	356255	2769709	135656	144965	0	0
COMMUNITY	162218575	162100278	162100278	162218575	0	0	0	0	0	0	0	0	162100278
TREATMENT	158241844	144883050	144883050	155507944	0	0	2552784	181116	0	0	0	0	147616950
PRESENTED	156429221	90941683	90941683	90941683	0	63517694	0	360444	879682	261848	467870	0	156429221
MINISTRAT	156416277	0	0	1141566	0	155015278	0	0	259433	0	0	0	0
DMINISTRA	155436107	0	0	0	155176674	0	0	259433	0	0	0	0	161396
ADMINISTR	155436107	0	0	155176674	0	0	259433	0	0	0	0	0	0
VIRONMENT	154248223	0	0	0	0	154038993	0	0	0	0	209230	0	84610969
ENVIRONME	154248223	0	0	154038993	0	0	0	0	209230	0	0	0	0
NVIRONMEN	154248223	0	0	0	154038993	0	0	0	0	209230	0	0	0
INCLUDING	153800374	153800374	153800374	153800374	0	0	0	0	0	0	0	0	153800374
ONSIDERED	153063896	0	0	0	151545059	0	1518837	0	0	0	0	0	153063896
CONSIDERE	153063896	0	0	151545059	0	1518837	0	0	0	0	0	0	0
