on x=-31..17,y=-17..30,z=-43..8
on x=-6..44,y=-24..30,z=-8..39
on x=0..49,y=-19..25,z=-12..38
on x=-31..14,y=-46..5,z=-43..9
on x=-42..3,y=-28..23,z=-25..28
on x=-20..26,y=-13..35,z=-36..8
on x=-26..27,y=-27..25,z=-11..38
on x=-42..11,y=-14..40,z=-23..24
on x=-25..19,y=-31..15,z=-39..8
on x=-42..11,y=-36..17,z=-39..9
off x=8..22,y=-3..14,z=10..29
on x=-13..38,y=-13..32,z=2..48
off x=33..42,y=4..13,z=-30..-19
on x=-19..26,y=-46..5,z=-40..12
off x=-23..-12,y=-7..2,z=-45..-29
on x=-17..35,y=-48..4,z=-16..36
off x=-12..2,y=-9..5,z=-12..3
on x=-34..19,y=-11..33,z=-26..24
off x=24..34,y=25..37,z=0..15
on x=-19..26,y=-28..26,z=-43..9
on x=-83807..-77448,y=-20052..2919,z=-8512..1270
on x=261..16256,y=65313..89218,z=-28825..-17392
on x=21434..35058,y=20632..40485,z=-84146..-55709
on x=-48812..-29971,y=55216..62921,z=-28022..-15766
on x=-14177..-7019,y=-91302..-62058,z=-8174..14864
on x=-87932..-62316,y=-38001..-18727,z=11302..39445
on x=69701..87455,y=-42551..-10451,z=13336..36833
on x=-86409..-53996,y=-5254..13252,z=26280..42952
on x=-42814..-21164,y=-7698..2546,z=55051..73047
on x=25078..37622,y=-90285..-66595,z=-24071..-3060
on x=72118..87866,y=-12079..17875,z=-23528..7587
on x=41274..64840,y=-63475..-48661,z=-4425..19395
on x=-15708..-4678,y=-749..19989,z=-82391..-64453
on x=-71898..-36969,y=40640..46191,z=28902..49264
on x=-80801..-66576,y=26395..31167,z=-31512..-21568
on x=57523..76560,y=-33285..-13800,z=4254..29473
on x=-82863..-64700,y=29768..59691,z=-30341..-7257
on x=-32065..-29379,y=38932..53508,z=-76878..-61315
on x=-10..11173,y=463..24967,z=77705..82346
on x=-47643..-23025,y=-42923..-34119,z=-60420..-57438
on x=-63621..-57529,y=33066..53811,z=23273..49072
on x=-74975..-60385,y=-22950..10155,z=-53348..-35419
on x=-54611..-35147,y=62313..72179,z=2482..3966
on x=57715..75033,y=-64838..-39620,z=-1072..18608
on x=-52076..-50307,y=-61914..-46848,z=2878..22917
on x=18629..39073,y=49950..76827,z=-62037..-28762
on x=34981..62227,y=53577..76994,z=12832..19906
on x=-72481..-43672,y=-47886..-26014,z=19399..48223
on x=-8950..18603,y=13309..37971,z=-74484..-69436
on x=-16767..5528,y=16470..32643,z=58249..82004
on x=-12651..2322,y=-64352..-47538,z=-62218..-30467
on x=-13237..8368,y=13412..29497,z=-78707..-55825
on x=-70547..-51064,y=6615..34177,z=42557..65661
on x=53013..71650,y=-38792..-10775,z=13355..31530
on x=52535..81262,y=-40006..-8742,z=-51591..-34103
on x=-39175..-23449,y=-2507..11905,z=55543..76852
on x=-68613..-57649,y=-53324..-43784,z=-8169..24131
on x=12853..22883,y=-21702..7249,z=-86624..-74055
on x=-11924..-411,y=-61590..-26323,z=47210..75920
on x=-51437..-43336,y=20599..48347,z=42966..60967
on x=45961..70580,y=19314..30352,z=-69098..-36802
on x=-60548..-34212,y=28954..46429,z=-59117..-39859
on x=-62440..-53023,y=12554..29103,z=32563..61939
on x=-51210..-28161,y=-68322..-51093,z=-21278..6194
on x=42750..73271,y=14889..35221,z=-58744..-53543
on x=-55823..-39470,y=-59599..-42144,z=17019..42589
on x=-14626..1632,y=-75196..-45499,z=29813..52303
on x=595..15798,y=73516..83286,z=-31411..-649
on x=-53834..-23305,y=45868..77210,z=33357..43262
on x=-24495..-6726,y=-24062..8131,z=56914..78360
on x=31518..45518,y=-75363..-55006,z=-2265..32328
on x=57179..80090,y=-53436..-28434,z=-10507..9540
on x=19193..49089,y=-78839..-71457,z=-17995..13869
on x=-62402..-51981,y=15899..34762,z=42267..58576
on x=17944..47745,y=-63935..-40872,z=-59048..-54098
on x=49358..64243,y=-18839..-6213,z=43211..65808
on x=14483..30044,y=42994..52549,z=-76659..-50535
on x=58035..68100,y=31678..54302,z=3451..28759
on x=-77543..-46970,y=3229..19452,z=38608..55865
on x=25815..33030,y=-29894..-10792,z=-86864..-62425
on x=43157..63898,y=39033..71114,z=-17821..16384
on x=11415..35975,y=-11789..896,z=-80905..-55968
on x=-33140..74,y=1083..12500,z=-81991..-63882
on x=-66126..-33283,y=-65854..-39427,z=-45468..-32819
on x=4778..21861,y=-71042..-48871,z=-59417..-42793
on x=66654..98311,y=-14961..2381,z=-15527..21698
on x=-84564..-52129,y=19269..38044,z=-34897..-17597
on x=59012..82206,y=-8303..11953,z=8834..25699
on x=13574..46006,y=-83277..-58527,z=-23044..14824
on x=20382..38581,y=30744..51434,z=57888..62080
on x=60452..85307,y=32764..40622,z=-39762..-26058
on x=-78269..-58393,y=30582..39299,z=-30047..576
on x=-30355..-13803,y=-51780..-37571,z=-74008..-46299
on x=-5431..15605,y=53001..91889,z=16338..46040
on x=24783..34698,y=-17285..5932,z=-90031..-65175
on x=22358..42285,y=-80259..-68397,z=-44798..-13377
on x=-5296..6765,y=28079..58182,z=-70072..-55694
on x=20162..30602,y=55806..73597,z=27897..41445
on x=4271..31598,y=-72728..-35977,z=44519..65750
on x=12440..24271,y=-48277..-26561,z=-71145..-51252
on x=-3230..30303,y=59709..79501,z=10257..23939
on x=15863..29909,y=55157..84726,z=-45716..-34568
on x=-6007..6155,y=-3590..10865,z=71616..95535
on x=-33417..-10218,y=32825..45380,z=49512..67932
on x=-52225..-19339,y=29366..54193,z=50056..61916
on x=64277..67962,y=-43243..-11282,z=30508..35903
on x=-25177..-400,y=-7312..31058,z=-84444..-76940
on x=-32582..-31592,y=52567..73867,z=-29799..-644
on x=-84821..-54152,y=13669..28233,z=18162..40461
on x=-212..22532,y=-85995..-59972,z=-6638..19342
on x=12495..32263,y=-18338..7656,z=72462..78596
on x=-14608..7212,y=-42813..-23395,z=-77420..-66253
on x=48698..63913,y=-53779..-49939,z=22862..39950
on x=50278..66996,y=8527..23848,z=28235..47427
on x=57129..66794,y=-37690..-15365,z=-48526..-23737
on x=39681..56086,y=-25423..8630,z=54173..70201
on x=12258..19958,y=-18056..-1191,z=67738..79771
on x=8088..31780,y=59042..84353,z=-35793..-10401
on x=33774..60133,y=-65548..-55788,z=-28589..-14140
on x=-35368..-12283,y=60938..81793,z=8638..32729
on x=19323..33787,y=14954..31736,z=57324..83827
on x=-934..27284,y=40738..64401,z=-72346..-44994
on x=37375..56938,y=14496..26504,z=-56123..-45458
on x=24597..39787,y=-48993..-23146,z=-79980..-61163
on x=5654..31491,y=-75282..-55534,z=-55679..-38046
