Sensor at x=3890859, y=2762958: closest beacon is at x=4037927, y=2985317
Sensor at x=671793, y=1531646: closest beacon is at x=351996, y=1184837
Sensor at x=3699203, y=3052069: closest beacon is at x=4037927, y=2985317
Sensor at x=3969720, y=629205: closest beacon is at x=4285415, y=81270
Sensor at x=41343, y=57178: closest beacon is at x=351996, y=1184837
Sensor at x=2135702, y=1658955: closest beacon is at x=1295288, y=2000000
Sensor at x=24022, y=1500343: closest beacon is at x=351996, y=1184837
Sensor at x=3040604, y=3457552: closest beacon is at x=2994959, y=4070511
Sensor at x=357905, y=3997215: closest beacon is at x=-101509, y=3502675
Sensor at x=117943, y=3670308: closest beacon is at x=-101509, y=3502675
Sensor at x=841852, y=702520: closest beacon is at x=351996, y=1184837
Sensor at x=3425318, y=3984088: closest beacon is at x=2994959, y=4070511
Sensor at x=3825628, y=3589947: closest beacon is at x=4299658, y=3299020
Sensor at x=2745170, y=139176: closest beacon is at x=4285415, y=81270
Sensor at x=878421, y=2039332: closest beacon is at x=1295288, y=2000000
Sensor at x=1736736, y=811875: closest beacon is at x=1295288, y=2000000
Sensor at x=180028, y=2627284: closest beacon is at x=-101509, y=3502675
Sensor at x=3957016, y=2468479: closest beacon is at x=3640739, y=2511853
Sensor at x=3227780, y=2760865: closest beacon is at x=3640739, y=2511853
Sensor at x=1083678, y=2357766: closest beacon is at x=1295288, y=2000000
Sensor at x=1336681, y=2182469: closest beacon is at x=1295288, y=2000000
Sensor at x=3332913, y=1556848: closest beacon is at x=3640739, y=2511853
Sensor at x=3663725, y=2525708: closest beacon is at x=3640739, y=2511853
Sensor at x=2570900, y=2419316: closest beacon is at x=3640739, y=2511853
Sensor at x=1879148, y=3584980: closest beacon is at x=2994959, y=4070511
Sensor at x=3949871, y=2889309: closest beacon is at x=4037927, y=2985317
