18-20,19-21
9-86,9-87
7-8,8-18
82-98,98-99
17-17,17-77
13-21,20-79
46-52,45-46
34-54,37-53
4-91,3-5
9-80,5-83
66-83,67-83
1-5,1-1
24-27,23-23
3-91,5-90
20-81,19-20
93-99,15-94
1-86,1-87
95-99,16-96
5-94,93-94
93-95,61-94
2-87,2-86
11-97,11-96
2-49,50-78
54-59,2-55
7-96,8-97
28-29,29-93
8-86,8-55
38-54,38-64
97-97,44-96
20-88,21-89
57-80,58-80
34-39,32-35
7-73,8-73
40-62,39-62
50-52,51-51
25-79,24-26
13-84,12-85
47-83,47-84
49-77,76-77
11-53,30-52
85-86,86-86
61-78,46-79
19-52,20-92
10-66,65-66
90-92,13-91
49-88,87-88
44-79,45-80
34-57,34-58
68-70,52-69
2-5,6-85
19-74,18-75
12-99,12-96
95-95,45-96
27-74,23-26
86-90,88-88
39-96,40-97
42-49,43-55
23-42,5-75
3-86,1-93
3-24,25-36
76-80,8-76
26-38,25-97
27-39,16-38
33-77,34-77
64-81,13-63
3-4,4-98
52-80,42-51
90-91,16-96
16-56,45-47
30-99,1-31
51-96,10-51
44-82,44-81
3-53,2-64
51-71,19-67
5-80,80-96
59-61,60-98
84-84,77-85
23-78,22-78
43-84,14-82
67-92,66-68
10-98,23-96
33-57,33-41
20-72,19-71
33-98,21-34
32-55,55-97
7-88,5-96
28-76,3-28
13-39,12-38
19-26,30-71
24-99,83-83
90-96,66-76
5-10,11-96
10-92,15-90
25-89,39-90
13-97,12-97
3-97,98-99
4-6,5-97
15-33,32-33
4-42,10-71
22-93,92-94
22-84,7-16
29-34,26-35
11-66,11-85
6-38,1-7
47-93,5-92
2-97,97-99
6-55,54-86
24-90,89-90
10-79,10-57
58-59,59-60
44-55,45-56
4-88,4-87
99-99,2-96
4-40,41-66
86-92,15-85
50-82,81-92
4-77,5-78
2-98,97-98
4-34,35-35
12-52,22-36
46-47,46-47
17-89,14-97
52-66,65-66
43-51,51-88
26-68,27-68
67-99,3-66
38-92,93-95
94-94,6-70
7-93,29-95
3-88,1-4
82-83,68-83
45-74,31-74
2-95,37-94
26-93,69-88
81-82,74-82
1-35,36-64
3-70,4-70
84-90,83-89
48-65,23-48
32-76,31-76
30-86,31-85
3-6,1-3
49-80,49-79
47-88,48-88
2-13,3-14
41-73,40-74
67-92,67-88
10-85,9-85
14-87,13-87
15-23,15-24
35-56,57-73
48-78,47-85
13-99,6-13
7-9,7-12
3-85,13-51
17-42,18-43
24-68,23-47
18-71,17-71
5-33,4-4
21-22,22-96
16-83,82-97
1-15,14-16
2-2,2-2
4-50,3-4
73-97,73-98
4-95,4-59
18-62,18-99
74-80,73-80
2-62,3-43
3-75,1-18
72-74,21-73
6-98,6-99
3-98,1-3
7-73,6-74
7-77,6-77
10-69,10-34
21-92,20-93
54-60,99-99
9-83,1-3
16-17,17-59
5-81,3-96
39-81,40-81
57-87,3-86
42-95,94-95
53-60,51-61
25-25,23-24
12-66,11-67
27-54,27-88
14-30,30-92
41-48,40-48
27-58,42-59
2-12,13-46
53-54,18-53
59-61,60-60
21-80,2-84
2-37,36-87
14-85,13-86
9-38,8-8
83-97,99-99
3-90,94-98
17-97,16-16
15-18,16-19
13-90,13-89
60-91,60-91
47-85,86-91
65-72,4-66
4-44,45-82
97-98,9-98
18-97,18-47
24-49,14-64
38-85,37-97
40-90,35-56
23-91,6-99
19-97,29-97
9-90,8-89
96-98,44-81
48-59,37-59
60-75,26-59
30-99,30-79
13-45,12-12
9-24,25-94
30-61,16-51
56-97,56-80
1-55,4-93
3-99,12-94
32-74,32-32
31-35,20-34
61-90,61-88
20-57,56-91
1-93,5-92
1-94,1-95
8-93,3-7
10-12,13-55
15-30,31-85
81-84,82-85
59-75,58-75
6-78,77-79
17-26,17-35
34-67,66-67
47-53,54-54
22-98,23-98
74-89,51-80
47-59,45-47
95-96,11-96
1-47,1-37
86-87,87-87
32-32,32-33
77-84,55-98
85-85,12-85
39-79,39-78
61-88,11-61
58-59,59-91
82-90,5-90
2-99,1-99
17-96,64-96
31-89,88-90
81-83,6-82
52-80,27-51
59-68,60-67
67-69,68-91
17-87,18-87
22-99,11-92
3-98,4-98
76-94,95-96
63-99,64-72
14-19,19-22
67-68,67-69
29-97,29-98
2-51,1-3
3-83,1-86
3-64,4-39
6-53,52-98
67-69,22-69
84-88,5-87
23-28,28-82
21-96,12-98
24-91,90-95
19-94,2-98
29-91,30-86
15-98,14-99
12-47,20-66
11-86,12-87
66-90,39-66
77-94,65-94
63-81,64-81
5-67,6-82
47-49,44-48
52-93,94-94
