Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
59366101,"Jun 5, 2013, 4:17:54 PM",Work,Ride,"",1561,10.94,,,false,,,activities/65251356.fit.gz,88.5,,1561.0,1517.0,10939.1,10.1,,32.0,39.6,-12.4,0.0,34.2,-0.1,,,,,,,,117.0,197.0,,20.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
59366104,"Jun 5, 2013, 10:18:34 PM",Work,Ride,"",269392,12.22,,,false,,,activities/65251354.fit.gz,88.5,,269392.0,1888.0,12227.9,9.3,,114.0,43.8,-2.6,70.2,272.0,0.6,,,,,,,,110.0,231.0,,26.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
59366105,"Jun 2, 2013, 5:49:48 PM",Recumbent Trike,Ride,"",2076,5.26,,,false,,,activities/65251362.fit.gz,88.5,,2076.0,1466.0,5268.0,6.4,,12.4,,48.6,56.4,18.5,0.0,,,,,,,,38.0,62.0,,26.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
59366131,"Jun 2, 2013, 9:44:02 PM",Woodside Loop and Baylands,Ride,"",186958,100.01,,,false,,,activities/65251358.fit.gz,88.5,,186958.0,16062.0,100013.2,14.1,,661.0,727.4,-2.8,169.6,61.5,-0.1,,,,,,,,99.0,1766.0,,25.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
59366142,"Jun 9, 2013, 2:37:42 PM",Silicon Valley Tour de Cure 75K,Ride,"",24999,83.09,,,false,,Seven Ti,activities/65251350.fit.gz,88.5,7.711,24999.0,14317.0,83093.1,14.7,,892.8,923.6,5.4,176.2,141.1,0.0,,,102.0,54.0,,,,109.0,1743.0,,26.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,785417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
60618428,"Jun 10, 2013, 4:20:25 PM",work,Ride,"",1690,10.50,,,false,,Seven Ti,activities/66568141.fit.gz,88.5,7.711,1690.0,1619.0,10499.2,8.6,,26.4,37.4,5.6,19.4,17.5,-0.1,,,83.0,63.0,,,,89.0,160.0,,21.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,785417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
60618429,"Jun 11, 2013, 12:14:33 AM",work,Ride,"",137166,20.49,,,false,,Seven Ti,activities/66568140.fit.gz,88.5,7.711,137166.0,3127.0,20496.7,11.0,,69.4,,-1.8,23.0,44.9,-0.1,,,80.0,59.0,,,,97.0,340.0,,22.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,785417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
60618436,"Jun 15, 2013, 4:42:18 PM",Palo Alto to Santa Cruz,Ride,"Cervrlo R3 SL, CSC team bike, DuraAce, Ksyrium SL",20458,94.02,,,false,,Cervelo,activities/66568137.fit.gz,88.5,6.804,20458.0,16074.0,94026.6,18.9,,1350.5,1154.2,0.0,519.7,25.0,0.2,,,,,,,,154.0,2751.0,,23.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,795647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
60618439,"Jun 12, 2013, 8:54:18 PM",Canada,Ride,"",182794,98.81,,,false,,Seven Ti,activities/66568138.fit.gz,88.0,7.711,182794.0,16786.0,98809.4,14.0,,672.8,656.0,-0.4,173.4,152.8,0.0,,,191.0,56.0,,,,92.0,1722.0,,29.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,785417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
60848001,"Jun 16, 2013, 11:25:27 PM",Woodside Loop,Ride,"",7421,39.47,,,false,,Cervelo,activities/66816818.fit.gz,88.5,6.804,7421.0,5899.0,39473.1,15.4,,346.6,368.6,7.8,162.4,43.3,-0.1,,,,,,,,126.0,832.0,,26.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,795647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
