name,miles,area,Jul/20,Aug/20,Sep/20,Oct/20,Nov/20,Dec/20,Jan/21,Feb/21,Mar/21,Apr/21,May/21,Jun/21,Jul/21,Aug/21,Sep/21,Oct/21,Nov/21,Dec/21,Jan/22,Feb/22,Mar/22,Apr/22,May/22,Jun/22,Jul/22,Aug/22
#
# Sam Mateo County
#
Atherton,56.3,SMC,,,,,91.2,94.0,95.2,,,94.9,96.2,,98.7,99.5,,99.3,,,99.6,,,,,,,
Belmont,98.1,SMC,15.5,17.3,18.6,,20.6,,27.4,,27.5,,,27.4,,,,27.5,,,,,,27.6,,,37.1,51.5
Brisbane,40.9,SMC,,,,,,,,,,,,,,,,,,,,,,45.3,,,,
Broadmoor,8.8,SMC,,,,,,,,,,,,,,,,,,,,,,,,,38.2,
Burlingame Hills,6.0,SMC,,,,,,,0.8,34.5,,,35.5,,,,,,,,,,,,,,,
Burlingame,88.4,SMC,9.4,,,,,,,31.5,,,35.5,,,,,,,,,,,,,,,54.3
Coal Creek Preserve,3.9,SMC,,,,,,,,,,,,,,,,,,,,,,,,36.7,,
Colma,13.7,SMC,,,,,,,,,,,,,,,,,,,,,,,,,24.8,38.3
Daly City,148.1,SMC,,,,,,,,,,,,,,,,,,,,,,,,,12.3,25.8
East Palo Alto,48.3,SMC,74.4,91.2,91.9,,92.2,93.3,93.4,,,,92.5,,,,95.0,99.2,,,99.7,,,,,,,
El Granada,49.2,SMC,,,,,,,,,,,,,,,,,,,,,,,,,35.2,
Emerald Lake Hills,24.6,SMC,,94.3,,,,51.0,80.0,85.8,91.3,,,,,,92.2,,,,93.4,96.1,,,,98.1,,98.9
Foster City,150.0,SMC,9.1,,,,,,,27.4,37.2,,38.7,,,,,,,,,,,,,51.8,,
Half Moon Bay,68.0,SMC,,,,,,,8.9,,,,,,,,,,,,,,,,,,30.5,
Half Moon Bay State Beach,4.4,SMC,,,,,,,,,,,,,,,,,,,,,,,,,50.7,
Hillsborough,85.3,SMC,3.3,,,,,,3.6,24.5,25.3,,,,,,25.5,,,,,,,,,,,52.5
Kensington Square,0.6,SMC,86.9,100.0,,,,,,,,,,,,,99.99,,,,,,,,,,,
Ladera,8.1,SMC,,,,,30.5,,,,47.6,,,,50.6,,,82.1,92.0,,99.7,,,,,,,
Los Trancos Woods,5.3,SMC,,,,,71.4,,,,,,74.9,75.0,,,,,,,95.8,,,,,99.9,,
Menlo Oaks,3.5,SMC,,,,,98.4,99.7,,,,,100.0,,,,,,,,,,,,,,,
Menlo Park,139.5,SMC,67.7,76.8,87.7,90.7,91.2,,92.5,,,91.6,,,91.8,,93.5,94.7,,,94.8,,95.7,,,95.1,,95.1
Millbrae,65.0,SMC,,,,,,,,18.4,31.6,,32.8,,,,,,,,,,,,,31.9,,40.9
Montara,27.8,SMC,,,,,,,,,,,,,,,,,,,,,,,,,26.8,
Moss Beach,19.7,SMC,,,,,,,,,,,,,,,,,,,,,,,,,38.5,
North Fair Oaks,26.7,SMC,78.1,90.4,93.1,93.8,94.8,96.1,96.9,,99.1,,,,,,99.17,,,,,,,,,,,
Pacifica,150.9,SMC,,,,,,,,,,,,,,,,,,,,,,,,,27.5,
