Alma Mountain Charlie,          3.12,  875, 31:49
Alpine Westridge,               0.76,   99, 3:26, 3:29, 3:43
Alpine last kicker,             0.39,  114, 3:11, 3:36, 5:19
Alpine Portola to top Joaquin,  3.52,  801, 33:58, 34:36
Alpine Willowbrook to Joaquin,  2.27,  461, 16:46, 17:27, 19:08
Arastradero,                    1.19,  193, 6:41, 7:49, 7:55
Arastradero last two bumps,     0.32,   95, 3:10
Atherton Ave Stinger,           0.23,   88, 2:24
Cabrillo Hmy S,                 0.46,  153, 4:31
Camaritas climb,                0.10,   48, 0:51
Canada to College,              1.37,  119, 5:55, 6:23, 6:35
Canon,                          0.90,  295, 11:04, 11:55
Canon to No Cycling,            0.75,  198, 5:14, 5:41
Cemetery Sprint,                0.08,   33, 0:33
Chalk Hill SB sprint,           0.17,   21, 2:11
Coe Second Switchback to flat,  1.00,  483, 13:27
Communications Hill Climb,      0.20,  103, 2:32
Davenport Kicker,               0.24,   74, 1:17
DNA hill,                       0.28,   83, 2:08
Dunne Steeps,                   0.42,  204, 5:11
Entrance Way Hill Repeats,      0.10,   76, 1:25
Faught Turn,                    0.22,   60, 1:16
Foothill Homestead,             1.22,  126, 5:31, 6:36, 6:53
Green Valley Roller of Death,   0.17,   84, 2:08
green valley kicker,            0.29,  178, 4:33
Haskins,                        1.51,  566, 17:47, 18:43, 18:47
Highway 1  Cascanoa to Cascade, 1.61,   89, 5:20
Highway 9,                      0.56,  260, 8:33
Highway 9 Mantalvo,             0.45,   35, 1:36, 1:48, 1:53
Huddart,                        0.92,  385, 10:15, 11:18, 12:55
Invernes to Firecrest Climb,    0.28,  143, 2:35
Joaquin,                        0.33,  254, 5:22, 6:00, 7:27
Kaboom Portola Rd,              0.67,  102, 3:14, 3:26, 3:33
Kings half way,                 2.89,  820, 27:26, 29:45, 32:43
Kings to Skeggs,                1.10,  273, 9:07, 10:39, 10:53
Kings Greer to Skyline,         3.92, 1536, 46:53, 48:36, 54:25
Kings Mountain Rd Climb,        0.56,  296, 8:23
Kings Mountain final sprint,    0.31,  135, 2:26
Klamath Dr.,                    0.12,   77, 0:55
Laning Bump,                    0.24,   94, 2:00
Limantour Spit,                 0.47,  303, 5:19
Limantour steepest,             0.20,  159, 5:41
Lobitas Creek,                  0.96,  430, 12:15
Lower Redwood Gulch,            1.03,  474, 13:00
Mapache,                        0.24,  111, 2:52, 2:55
Mt Eden climb,                  1.02,  272, 8:32, 9:43, 11:59
Mt Eden to Archery,             0.54,  180, 5:19, 5:39, 6:12
Official Bike Hut Classic       8.33,  1908, 1:08:50
Old La Honda (Bridge to Stop),  3.33, 1255, 28:42, 30:32, 36:04
Old La Honda Mile 1,            0.99,  370, 8:02, 9:36, 9:51
Paloma Climb,                   0.14,   82, 1:26
Page Mill to Moody,             0.21,  112, 2:50, 2:55
Page Mill to Ventana,           0.47,  196, 4:54, 5:32, 6:05
PCH Pescadero to Bean Hollow,   2.77,   51, 8:07
Peach Hill,                     0.60,  248, 7:30, 7:50
Pomponio Creek,                 0.38,  122, 2:47, 2:55, 3:16
PV: Sand Hill SLAC to Rosewood, 0.33,   75, 1:41, 1:43, 1:48
Red Hill KOM,                   0.34,  161, 4:15
Redwood Gulch hits,             0.18,  151, 3:36
Redwood Gulch wall,             0.43,  258, 6:39
Sand Gill Sharon-top,           0.85,  136, 4:03, 4:16, 4:24
Sand Hill 280 to horse,         0.49,   95, 2:34, 2:44, 2:51
Sand Hill Alpine to 280,        1.67,  180, 7:02, 7:39, 8:02
Sharon Park steep part,         0.21,   86, 1:57 
Skyline Bump at OLH,            0.21,   63, 1:16, 1:40, 1:49
Stair Step,                     0.32,  175, 5:25
Stage Rd,                       1.01,  373, 11:36, 11:51, 12:28
Stanford Ave,                   0.63,   85, 3:14, 3:32, 3:49
Stevens Country Park,           1.22,  112, 5:42, 5:58, 7:00
Stirrup Wall,                   0.17,  125, 3:47, 4:33
Stirrup to Moon,                0.36,  159, 3:41, 6:07
Summit Rd Climb,                0.60,  275, 8:00
Tepa,                           0.58,  248, 6:34, 7:14, 8:21
The Boneyard,                   1.48,  135, 6:05, 6:36, 7:00
Top of Groton Rd heading west,  0.92,  291, 7:59
Try not to fall back,           0.71,  410, 12:45
Tunitas Knoll to Star,          1.55,  339, 12:28, 12:56, 13:51
Tunitas flattens,               0.42,  166, 3:15, 3:16, 3:25
Tunitas lower climb,            1.30,  421, 12:58, 13:34, 16:00
Tunitas steep,                  1.20,  599, 15:17, 16:15, 17:47
Valparaiso steep,               0.18,  145, 2:26, 2:56, 3:18
Vickrey Fruitvale,              0.99,   68, 3:41, 3:58, 4:26
Watts (Sonoma),                 1.20,  313, 8:37
West Alpine switchback,         0.78,  322, 8:56, 10:52, 11:55
West Alpine full,               7.38, 1887, 1:23:26
Westridge,                      0.68,  385, 8:28, 9:52, 10:18
Westridge 3min,                 0.37,  240, 4:41, 5:35, 6:31
Westridge Hill 1,               0.51,  104, 3:19, 3:58
Westridge Hill 2,               0.51,  166, 4:42, 5:10, 5:20
Woghler Slap,                   0.20,   47, 1:24
Woodland Way,                   0.13,   63, 1:36
Woodside Climb,                 1.71,  295, 8:05, 9:00, 9:35
