      1 1372.2   0.729       1       78.0 Puzzle 1
      1   91.6  10.914       1       54.0 Puzzle 2
      1   46.2  21.661       1       11.0 Puzzle 3
      1  133.9   7.470       1       73.0 Puzzle 4
      1   70.7  14.151       1       13.0 Puzzle 5
      1   42.7  23.437       1        1.0 Puzzle 6
      1   41.7  23.976       1        1.0 Puzzle 7
      1   62.9  15.894       1        6.0 Puzzle 8
      1   44.5  22.472       1        0.0 Puzzle 9
      1   49.7  20.117       1        2.0 Puzzle 10
      1   51.5  19.433       1        0.0 Puzzle 11
      1   41.4  24.169       1        0.0 Puzzle 12
      1   49.5  20.202       1        2.0 Puzzle 13
      1  562.2   1.779       1      491.0 Puzzle 14
      1  126.7   7.895       1       43.0 Puzzle 15
      1   41.5  24.096       1        0.0 Puzzle 16
      1   42.6  23.483       1        1.0 Puzzle 17
      1   37.3  26.815       1        3.0 Puzzle 18
      1   26.0  38.522       1        0.0 Puzzle 19
      1   45.4  22.039       1        0.0 Puzzle 20
      1   41.8  23.905       1        1.0 Puzzle 21
      1   34.0  29.448       1        1.0 Puzzle 22
      1   39.1  25.559       1        1.0 Puzzle 23
      1   35.2  28.436       1        1.0 Puzzle 24
      1  130.5   7.665       1       94.0 Puzzle 25
      1   80.1  12.480       1       52.0 Puzzle 26
      1   69.0  14.484       1       42.0 Puzzle 27
      1   81.8  12.220       1       29.0 Puzzle 28
      1  282.3   3.542       1      213.0 Puzzle 29
      1   63.5  15.758       1        6.0 Puzzle 30
      1   34.4  29.055       1        0.0 Puzzle 31
      1   24.9  40.201       1        0.0 Puzzle 32
      1   27.4  36.475       1        0.0 Puzzle 33
      1   54.5  18.335       1       10.0 Puzzle 34
      1   42.3  23.646       1        3.0 Puzzle 35
      1   27.8  35.929       1        0.0 Puzzle 36
      1   59.4  16.830       1        8.0 Puzzle 37
      1   36.5  27.366       1        0.0 Puzzle 38
      1   37.8  26.461       1        1.0 Puzzle 39
      1   65.9  15.180       1       18.0 Puzzle 40
      1   40.5  24.691       1        0.0 Puzzle 41
      1   31.4  31.830       1        1.0 Puzzle 42
      1   33.7  29.703       1        2.0 Puzzle 43
      1   40.9  24.440       1        0.0 Puzzle 44
      1   31.5  31.746       1        0.0 Puzzle 45
      1   36.6  27.335       1        0.0 Puzzle 46
      1   42.7  23.438       1        3.0 Puzzle 47
      1   55.8  17.937       1       19.0 Puzzle 48
      1   64.6  15.474       1       44.0 Puzzle 49
      1   45.0  22.222       1        1.0 Puzzle 50
      1   31.2  32.043       1        0.0 Puzzle 51
      1   39.0  25.641       1        3.0 Puzzle 52
      1  104.5   9.566       1       16.0 Puzzle 53
      1   44.2  22.620       1        1.0 Puzzle 54
      1   46.0  21.719       1        9.0 Puzzle 55
      1   27.5  36.308       1        2.0 Puzzle 56
      1  174.0   5.746       1      151.0 Puzzle 57
      1   60.6  16.495       1       16.0 Puzzle 58
      1   30.8  32.433       1        0.0 Puzzle 59
      1   30.8  32.476       1        0.0 Puzzle 60
      1   29.1  34.335       1        0.0 Puzzle 61
      1   34.0  29.375       1        2.0 Puzzle 62
      1   60.7  16.472       1       14.0 Puzzle 63
      1   30.3  33.058       1        0.0 Puzzle 64
      1   33.2  30.150       1        0.0 Puzzle 65
      1   30.0  33.287       1        0.0 Puzzle 66
      1   37.1  26.936       1        2.0 Puzzle 67
      1   37.0  26.997       1        8.0 Puzzle 68
      1   49.7  20.134       1       16.0 Puzzle 69
      1   43.0  23.256       1       21.0 Puzzle 70
      1   32.9  30.380       1       25.0 Puzzle 71
      1   38.0  26.316       1        2.0 Puzzle 72
      1   50.6  19.753       1        4.0 Puzzle 73
      1   24.0  41.594       1        0.0 Puzzle 74
